athlete,first_200,second_200,total_time_sec,split_ratio
Ally Sparno,30.67,32.78,63.45,1.06879687
Jake Haley,23.94,26.59,50.53,1.1106934
Rikki Carver,26.7,32.64,59.34,1.22247191
Lathan Brown,22.76,26.36,49.12,1.158172232
Ryleigh Hearn,27.56,30.12,57.68,1.092888244
Caden Federigo,25.85,29.85,55.7,1.154738878
Sophia Saadi,29.33,35.76,65.09,1.219229458
Divyesh Paladugu,24.88,26.49,51.37,1.064710611
Alana Henry,28.19,31.78,59.97,1.127350124
Kofi Rossi,23.9,25.57,49.47,1.069874477
Chloe Smith,27.65,30.43,58.08,1.100542495
Charlie Dalles,27.35,29.18,56.53,1.06691042
Colby Rochford,24.9,26.93,51.83,1.081526104
Alice Valenzuela,28.97,31.65,60.62,1.092509493
Sean Clegg,24.02,25.93,49.95,1.079517069
Jocelyn Millican,28.27,31.28,59.55,1.106473293
Brett Trainor,25.9,26.81,52.71,1.035135135
Mia Jilani,29.38,32.1,61.48,1.092579986
Landon Lacey,23.81,26.7,50.51,1.121377572
Emily Burdick,28.35,33.32,61.67,1.175308642
Justin Parris,24.82,28.13,52.95,1.133360193
Wylie Roossien,27.26,31.55,58.81,1.157373441
Jacob Schmader,22.93,26.62,49.55,1.160924553
Alexandra Allen,26.41,31.02,57.43,1.174555093
Bryce Tucker,22.86,25.24,48.1,1.104111986
Sage Hinton,25.07,30.32,55.39,1.209413642
Matthew Clark,24.9,28.67,53.57,1.151405622
Gabriela Sangil Cantalapiedra,29.6,31.64,61.24,1.068918919
Evan Watson,23.04,27.1,50.14,1.176215278
Taryn Henderson,26.59,31.26,57.85,1.175629936
Ryan Matulonis,22.98,25.5,48.48,1.109660574
Braelyn Baker,24.8,31.76,56.56,1.280645161
Landon Morris,25.32,28.94,54.26,1.142969984
Kiara Fleming,29.53,32.94,62.47,1.115475787
Xavier Doctor,23.9,26.36,50.26,1.10292887
Aaliyah Jalloh,28.14,30.51,58.65,1.084221748
Yougendy Mauricette,22.8,26.06,48.86,1.142982456
Elizabeth Anderson,26.06,31.05,57.11,1.191481197
Cameron Stephens,25.34,29.89,55.23,1.179558011
Bethany Adhikari,29.6,33.86,63.46,1.143918919
Keenan Frisby,24.17,26.45,50.62,1.094331816
Sabria Wooden,27.47,31.9,59.37,1.161266837
Blake Moody,23.54,25.62,49.16,1.088360238
Jordon Bray,26.92,30.76,57.68,1.142644874
Courtney Lee,25.56,30.17,55.73,1.180359937
Ellie Jackson,31.83,33.28,65.11,1.045554508
Brandon Latta,24.7,26.68,51.38,1.080161943
Devin Stroope,27.5,32.48,59.98,1.181090909
John O'Reilly,23.33,26.17,49.5,1.121731676
Gabriella Ruggeri,27.26,30.95,58.21,1.135363169
Caden Briere,27.5,29.57,57.07,1.075272727
Blake Santos,24.39,27.51,51.9,1.127921279
Sydney Monroe,27.48,33.15,60.63,1.206331878
Kanye Mills,23.77,26.22,49.99,1.103071098
Claire Annuik,28.39,31.24,59.63,1.10038746
Devin Gaglione,25.05,27.8,52.85,1.109780439
Lauren Downer,29.22,32.34,61.56,1.106776181
Harrison Goldenberg,23.44,27.17,50.61,1.159129693
Leanna Rose,27.97,33.71,61.68,1.205219878
Tristan Strand,24.87,28.1,52.97,1.129875352
Olivia Okaro,27.1,31.9,59,1.177121771
Del Lindsay,23.09,26.55,49.64,1.149848419
Amaya Hopkins,27.11,30.41,57.52,1.1217263
Natanael Vigo Catala,23.12,24.98,48.1,1.080449827
Alivia Williams,25.8,29.9,55.7,1.158914729
Rohin Patel,24.95,28.74,53.69,1.151903808
Abigail Hennessy,30.21,31.07,61.28,1.028467395
Triston Crawford,23.57,26.58,50.15,1.127704709
Stephney Pryce,26.79,31.15,57.94,1.162747294
James Long,23.02,25.65,48.67,1.11424848
Jayla Johnson,26.58,30.07,56.65,1.131301731
Dustin DeCambre,25.94,28.45,54.39,1.096761758
Tyra Butler,29.43,33.04,62.47,1.122663948
Damil Bostic,22.98,27.31,50.29,1.188424717
Riley Humphries,27.21,31.56,58.77,1.159867696
Adrien Jacobs,23.06,25.8,48.86,1.118820468
Gabrielle Johnson,26.39,30.78,57.17,1.16635089
Wyatt Dieterle,24.88,30.47,55.35,1.224678457
Mylee Bailey-Ramsey,29.73,33.97,63.7,1.142616885
Julian Roberson,23.55,27.13,50.68,1.152016985
Jade Sanders,26.34,33.12,59.46,1.257403189
Jayden Douglas,22.51,26.73,49.24,1.187472235
Kayla Buback,27.46,30.26,57.72,1.101966497
James Adu,26.78,28.98,55.76,1.082150859
Lea Ahmad-LeBlanc,31.27,33.89,65.16,1.083786377
Jordan Maldonado,24.26,27.2,51.46,1.121187139
Sydney Huckstep,27.82,32.25,60.07,1.159237958
Jack Kimble,22.8,26.76,49.56,1.173684211
Ali Murphy,27.17,31.31,58.48,1.152373942
Robert Moyes,26.66,30.55,57.21,1.145911478
Carter Rauch,25.27,26.7,51.97,1.056588841
Isabel Evans,27.56,33.1,60.66,1.201015965
Maddox Treece,24.57,25.67,50.24,1.044770045
Riley Powers,28.68,30.95,59.63,1.079149233
Nathan Mikulsky,25.37,27.64,53.01,1.089475759
Julie Richardson,29.56,32.38,61.94,1.095399188
Alexson Songor,23.16,27.48,50.64,1.186528497
Valerie Capalbo,27.72,34.57,62.29,1.247113997
Preston Barnes,25.59,27.39,52.98,1.070339977
JaNiyah Ford,29.53,30.12,59.65,1.019979682
Evan Pardue,24.35,25.45,49.8,1.045174538
Taylin Segree,26.72,30.82,57.54,1.153443114
Maximilian DeAngelo,23.02,25.09,48.11,1.089921807
Makeriah Harris,25.18,30.54,55.72,1.212867355
Owen Empey,25.37,28.32,53.69,1.11627907
Suzanna Mancini,28.91,32.75,61.66,1.132826012
Henry Reinke,24.48,25.67,50.15,1.048611111
Abigail Wicks,26.35,31.69,58.04,1.202656546
Nicolas West,22.7,26,48.7,1.145374449
Victoria Vidolova,26.16,30.56,56.72,1.168195719
Matthew Peko,24.26,30.24,54.5,1.24649629
Gemma Hardwick,30.52,31.96,62.48,1.047182176
Dominick Lawshea,22.74,27.64,50.38,1.215479332
Korynne Moga,26.86,32.11,58.97,1.19545793
Johnny Emmanuel,22.33,26.54,48.87,1.188535602
Lindsay Johnson,25.92,31.3,57.22,1.207561728
John-Michael Schoppmann,27.22,28.13,55.35,1.033431301
Victoria Barry,31.5,32.21,63.71,1.022539683
Ty Dorow,23.91,26.76,50.67,1.119196989
Kiabi Addison,27.14,32.4,59.54,1.193809875
Xavier Branker,22.88,26.38,49.26,1.152972028
Kyla Palmer,26.38,31.34,57.72,1.188021228
Isaac Crawford,26.05,29.83,55.88,1.145105566
Hope Castellucci,30.53,34.76,65.29,1.138552244
Colin Donahoe,24.88,26.6,51.48,1.069131833
Molly Canon,28.49,31.82,60.31,1.116883117
Jaylen Bennett,23.18,26.53,49.71,1.144521139
Mirai Bernard,26.74,31.84,58.58,1.190725505
Arthur Ferris,27.17,30.32,57.49,1.115936695
Luke Weiler,25.43,26.86,52.29,1.056232796
Petra Taylor,28.19,32.49,60.68,1.15253636
Michael Braxton,23.62,26.65,50.27,1.128281118
Annika Paluska,28.53,31.21,59.74,1.093936208
Ben Drohan,25.36,27.68,53.04,1.09148265
Cassidy Robleno,28.7,33.25,61.95,1.158536585
Dylan Brenn,24.94,25.79,50.73,1.034081796
Anique Poulin,30.72,32.48,63.2,1.057291667
Garreth Calder,25.23,27.8,53.03,1.101862862
Julia Gustafsson,29.83,29.9,59.73,1.002346631
Robert Young,23.36,26.49,49.85,1.133989726
Farah Nasir,27.1,30.46,57.56,1.12398524
Sahfi Reed,22.63,25.51,48.14,1.127264693
Brooklyn Sandvig,26.01,29.93,55.94,1.150711265
CJ Edwards,24.98,28.76,53.74,1.151321057
Ella Mcgee,28.62,33.21,61.83,1.160377358
Joshua Anding,23.89,26.28,50.17,1.100041859
Zoey McFadyen,28.4,29.64,58.04,1.043661972
Jaylin Santiago,22.57,26.15,48.72,1.158617634
Rhia Randolph,25.84,30.92,56.76,1.196594427
Jimmy Peters Jr,25.03,29.51,54.54,1.178985218
Stella Carli,30.14,32.39,62.53,1.074651626
Alex Lambert,23.93,26.49,50.42,1.106978688
Rebecca Cornett,28.4,30.68,59.08,1.08028169
Colin Kravitz,22.94,26.02,48.96,1.134263296
A'Laji Bradley,26.36,30.87,57.23,1.171092564
Khem Temoka,25.91,29.59,55.5,1.142030104
Samantha Dabich,30.26,33.53,63.79,1.10806345
Garrett Brennan,24.06,26.62,50.68,1.106400665
Chloe Johnson,28.52,31.13,59.65,1.091514727
Robert Lee,24.07,25.2,49.27,1.046946406
Chloe Jones,26.74,30.98,57.72,1.158563949
Chad Stone,24.86,31.09,55.95,1.250603379
Margaret McCooe,32.15,33.15,65.3,1.031104199
Shaheam Porter,23.63,27.91,51.54,1.181125688
Saniya Hall,27.1,33.21,60.31,1.225461255
Farraj Al-Amin,22.95,26.77,49.72,1.166448802
Jayda Darroch,27.39,31.31,58.7,1.143117926
Parker Chao,27.84,29.87,57.71,1.072916667
Kenyon Wells,23.9,28.4,52.3,1.188284519
Marissa Mauro,29.19,31.61,60.8,1.082905104
Connor Ziolkowski,23.83,26.45,50.28,1.109945447
Tessa Geddes,26.78,33.09,59.87,1.2356236
Michael Bueker,24.96,28.37,53.33,1.13661859
Ileana Cheruiyot,29.4,32.69,62.09,1.111904762
Justice Stewart,23.1,27.64,50.74,1.196536797
Katrina Torelli,30.35,33.81,64.16,1.114003295
Allen Sulton IV,24.71,28.41,53.12,1.149736949
Kassidy Hopkins,26.74,33.28,60.02,1.244577412
Chase Harrison,23.29,26.62,49.91,1.14297982
Sarah Marshall,26.68,30.89,57.57,1.157796102
Killian Fahy,22.47,25.75,48.22,1.145972408
Kylee Bernard,26.16,29.89,56.05,1.142584098
Alexander Kho,25.75,28.08,53.83,1.090485437
Quinn Conwell,27.7,34.14,61.84,1.232490975
Peyton Wheeler,23.63,26.54,50.17,1.12314854
Corinne Jaggard,28,30.22,58.22,1.079285714
Jahson Gordon,22.38,26.35,48.73,1.177390527
Anna Connors,25.54,31.25,56.79,1.223570869
Maurice Shanks,26.32,28.28,54.6,1.074468085
Jordyn Goodwin,30.17,32.51,62.68,1.077560491
Landen Perry,23.18,27.24,50.42,1.175150992
Noel Cumberland,27.71,31.51,59.22,1.137134608
Lucas Mylon,22.61,26.36,48.97,1.165855816
Faith Murphy,26.68,30.55,57.23,1.145052474
Jackson Llewellyn,25.19,30.38,55.57,1.206034141
Lily Hayes,30.41,33.58,63.99,1.104242026
Joao Victor Cunha,23.83,27,50.83,1.133025598
Leila Metres,28.58,31.08,59.66,1.087473758
Samuel Sandler,22.58,26.74,49.32,1.184233835
Jaa'Ln McBride,27.75,30.11,57.86,1.085045045
Porter Leak,26.28,29.69,55.97,1.129756469
Violet Arone,32.25,35.05,67.3,1.086821705
Cole Thalheimer,24.77,26.87,51.64,1.084779976
Kiylah Williams,27.27,33.16,60.43,1.215988265
Cullen Hronek,22.86,26.86,49.72,1.174978128
Kashia Hoo,28.12,30.86,58.98,1.097439545
Michael Cherubini,27.36,31.21,58.57,1.140716374
Jacob Robinson Smey,24.94,27.37,52.31,1.097433841
Sophia Riley,28.59,32.34,60.93,1.131164743
Devin Underwood,24.15,26.15,50.3,1.082815735
Lucy McLean,28.18,31.94,60.12,1.133427963
Cole Giles,26.31,27.7,54.01,1.052831623
Nah'La m,29.25,33.13,62.38,1.132649573
Bruce Payerli,23.82,26.93,50.75,1.130562552
Aisha Williams,28.42,33.97,62.39,1.195285011
Peter Hollern,23.78,27.08,50.86,1.138772077
Marissa McDougall,29.56,32.93,62.49,1.114005413
Evan Hudson,23.04,27.91,50.95,1.211371528
Alonzo Porchia,23.93,27.53,51.46,1.15043878
Paige Jerrahian,29.37,33.61,62.98,1.144364998
Evan Smith,24.03,27.01,51.04,1.124011652
Hayden Wonnacott,23.85,27.63,51.48,1.158490566
Grace McNally,28.93,34.35,63.28,1.187348773
Aydan Myers,23.94,27.36,51.3,1.142857143
Nikhil Soltau,25.05,26.6,51.65,1.061876248
Rose Karow,29.25,34.47,63.72,1.178461538
Colin Hansen,23.91,27.48,51.39,1.149309912
Gavin Demas,25.17,26.8,51.97,1.064759634
Catherine McPhee,28.95,39.05,68,1.348877375
Preston Lubeski,23.42,27.98,51.4,1.19470538
Joseph Iaquaniello,23.76,28.88,52.64,1.215488215
Ervin Pearson III,23.01,25.3,48.31,1.099521947
Zoe Dorsey,26.1,29.63,55.73,1.135249042
Quincy Wilson,22.17,24.53,46.7,1.106450158
Zaya Akins,24.28,29.21,53.49,1.203047776
Christopher Miller-Harris,23.52,25.49,49.01,1.083758503
Elena Cooper,26.52,30.4,56.92,1.146304676
Jacob Andrews,21.45,25.7,47.15,1.198135198
Madison Gardner,24.85,29.21,54.06,1.175452716
Quentin Williams,23.23,25.88,49.11,1.114076625
Ay'rianna Moore,25.86,31.24,57.1,1.20804331
Shamar Heard,21.71,25.94,47.65,1.194841087
Sydney Harris,25.06,29.68,54.74,1.184357542
Furious Trammel,23.19,25.92,49.11,1.117723157
Noel Evans,25.95,31.15,57.1,1.200385356
Alexander Sadikov,22.67,25.01,47.68,1.103220115
Michelle Smith,24.93,29.91,54.84,1.199759326
Kenneth Carpenter,23.29,26.04,49.33,1.118076428
Simone Kelly,26.56,30.87,57.43,1.162274096
Darian Tarver Jr.,22.09,25.76,47.85,1.166138524
Sydney Sutton,25.1,29.95,55.05,1.193227092
Avery Atexide,22.94,26.64,49.58,1.161290323
Jaellene Burgess,26.29,31.4,57.69,1.194370483
Zyaire Nuriddin,21.43,26.79,48.22,1.250116659
Nevaeh Burns,25.73,29.91,55.64,1.162456277
Andrew Sirras,23.2,26.68,49.88,1.15
Morgan Rothwell,25.79,32.12,57.91,1.245443971
Alex (Alexander) Ornelas,22.57,25.85,48.42,1.145325654
Brooke'Lyn Drakeford,25.08,30.89,55.97,1.231658692
Caden Simmons,22.97,27.02,49.99,1.176316935
Ellise Dickinson,25.77,35.32,61.09,1.370585953
Braylyn Farrington,22.13,26.55,48.68,1.199728875
